[DEBUG] 2021-03-22 13:09:59.364 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-03-22 13:09:59.423 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-03-22 13:09:59.460 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-03-22 13:09:59.990 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-03-22 13:10:00.015 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-03-22 13:10:01.129 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-03-22 13:10:01.132 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-03-22 13:10:01.163 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-03-22 13:10:02.246 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-03-22 13:10:02.295 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-03-22 13:10:02.301 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-03-22 13:10:02.354 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-03-22 13:10:02.453 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@7bca6fac
[DEBUG] 2021-03-22 13:10:02.458 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@7bca6fac
[DEBUG] 2021-03-22 13:10:02.458 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@7bca6fac
[DEBUG] 2021-03-22 13:10:02.459 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@5833f5cd
[DEBUG] 2021-03-22 13:10:02.460 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@760cf594
[DEBUG] 2021-03-22 13:10:02.461 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@204e90f7
[DEBUG] 2021-03-22 13:10:02.467 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@763cf5b9
[DEBUG] 2021-03-22 13:10:02.474 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@763cf5b9
[DEBUG] 2021-03-22 13:10:02.474 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@763cf5b9
[DEBUG] 2021-03-22 13:10:02.477 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@3c35c345
